axis,group_ref,group_comp,n_ref,n_comp,median_ref,median_comp,diff_median,p_value,FDR
SCFA_axis,Immune_low,Immune_high,307,307,-0.04039046571478774,0.09957580350208942,0.13996626921687716,2.8330547158473418e-5,3.7774062877964555e-5
Polyamine_axis,Immune_low,Immune_high,307,307,-0.00784986343540358,0.024473642698074678,0.03232350613347826,0.11478587105993728,0.11478587105993728
Ferroptosis_axis,Immune_low,Immune_high,307,307,-0.06373210685534815,0.10879045268534486,0.172522559540693,8.223024297506315e-12,1.644604859501263e-11
Trp_axis,Immune_low,Immune_high,307,307,-0.28296135698515457,0.2701932719493952,0.5531546289345497,1.9265413188943265e-28,7.706165275577306e-28
