axis,n_I_II,n_III_IV,median_I_II,median_III_IV,delta_median,p_value_stage,FDR_stage,cohort,n,HR,lower_CI,upper_CI,p_value_OS,FDR_OS
Ferroptosis_axis,290,208,0.0694088104201751,-0.0113663336568413,-0.0807751440770164,0.00481857595635976,0.00642476794181301,TCGA,614,1.0145170767178,0.611411571991785,1.6833912639224,0.955514650253483,0.955514650253483
Polyamine_axis,290,208,0.0139624118467168,-0.0119296423010172,-0.025892054147734,0.07228781079639,0.07228781079639,TCGA,614,1.02800681232175,0.674675657433975,1.56637933284758,0.897714614079139,0.955514650253483
SCFA_axis,290,208,0.100064166578912,-0.0654165934172994,-0.165480759996211,1.00661383154196e-5,4.02645532616785e-5,TCGA,614,0.831210224507046,0.597935821882268,1.15549263322292,0.271326471400298,0.893224340288379
Trp_axis,290,208,0.0989003642866407,-0.114517216846895,-0.213417581133536,0.00105738822916613,0.00211477645833226,TCGA,614,0.891106569316875,0.662194585687273,1.19915042352022,0.44661217014419,0.893224340288379
Ferroptosis_axis,309,270,0.0324365734269144,-0.0434004812913192,-0.0758370547182336,0.0094250131719858,0.0125666842293144,GSE39582,573,0.900997599726008,0.553974880404262,1.46540340262292,0.674409541169777,0.692721864206605
Polyamine_axis,309,270,0.0650331803229715,-0.0859527334007248,-0.150985913723696,0.00197659663155861,0.00395319326311721,GSE39582,573,0.94457412605879,0.711885137599528,1.25332056043239,0.692721864206605,0.692721864206605
SCFA_axis,309,270,0.0467204347342744,-0.0917430022973595,-0.138463437031634,1.53401052425199e-5,6.13604209700795e-5,GSE39582,573,0.524292020122249,0.37321945958815,0.736516050548928,1.9645695640222e-4,7.858278256089e-4
Trp_axis,309,270,-0.045177427292459,-0.0876940006563447,-0.0425165733638857,0.383360479328475,0.383360479328475,GSE39582,573,1.18150319640339,0.877628136740717,1.59059372036046,0.271558270991786,0.543116541983571
