axis,group_ref,group_comp,n_ref,n_comp,median_ref,median_comp,diff_median,p_value,FDR,axis_label,figure_order
SCFA_axis,MSS_or_MSI-L,MSI-H,225,38,0.09003872330266356,0.4120809784419131,0.3220422551392496,7.638948579400632e-5,1.5277897158801263e-4,SCFA,1
Polyamine_axis,MSS_or_MSI-L,MSI-H,225,38,0.02612415425508248,0.17683559668415477,0.15071144242907228,0.05151361210586407,0.05151361210586407,Polyamine,2
Ferroptosis_axis,MSS_or_MSI-L,MSI-H,225,38,0.09867926527240792,0.2635240985506291,0.16484483327822116,0.00766320953648192,0.01021761271530922,Ferroptosis,3
Trp_axis,MSS_or_MSI-L,MSI-H,225,38,-0.09425135096605572,0.4486798060208931,0.5429311569869488,1.3279091604722411e-8,5.3116366418889644e-8,Tryptophan,4
