cohort,n,HR,lower_CI,upper_CI,p_value_OS,FDR_OS,axis,axis_label
TCGA,614,0.831210224507046,0.597935821882268,1.15549263322292,0.271326471400298,0.893224340288379,SCFA_axis,SCFA
GSE39582,573,0.524292020122249,0.37321945958815,0.736516050548928,1.9645695640222e-4,7.858278256089e-4,SCFA_axis,SCFA
