axis,cohort,n_I_II,n_III_IV,median_I_II,median_III_IV,delta_median,p_value_stage,FDR_stage,axis_label,figure_order
SCFA_axis,GSE39582,309,270,0.0467204347342744,-0.0917430022973595,-0.138463437031634,1.53401052425199e-5,6.13604209700795e-5,SCFA,1
SCFA_axis,TCGA,290,208,0.100064166578912,-0.0654165934172994,-0.165480759996211,1.00661383154196e-5,4.02645532616785e-5,SCFA,1
Polyamine_axis,GSE39582,309,270,0.0650331803229715,-0.0859527334007248,-0.150985913723696,0.00197659663155861,0.00395319326311721,Polyamine,2
Polyamine_axis,TCGA,290,208,0.0139624118467168,-0.0119296423010172,-0.025892054147734,0.07228781079639,0.07228781079639,Polyamine,2
Ferroptosis_axis,GSE39582,309,270,0.0324365734269144,-0.0434004812913192,-0.0758370547182336,0.0094250131719858,0.0125666842293144,Ferroptosis,3
Ferroptosis_axis,TCGA,290,208,0.0694088104201751,-0.0113663336568413,-0.0807751440770164,0.00481857595635976,0.00642476794181301,Ferroptosis,3
Trp_axis,GSE39582,309,270,-0.045177427292459,-0.0876940006563447,-0.0425165733638857,0.383360479328475,0.383360479328475,Tryptophan,4
Trp_axis,TCGA,290,208,0.0989003642866407,-0.114517216846895,-0.213417581133536,0.00105738822916613,0.00211477645833226,Tryptophan,4
